Problem Index,Probabilty,# Teams devided into,Running Time,Count of Assigned variables, Count of Unassigned Variables,Max people in team
1,0.1,3,0.022630929946899414,1883,1227,11
2,0.2,3,0.00656890869140625,269,158,12
3,0.3,5,0.5543351173400879,1898,1228,8
4,0.4,6,12.913559913635254,123,46,6
5,0.5,7,36.24890089035034,1573455,898225,6

Problem Index,Probabilty,# Teams devided into,Running Time,Count of Assigned variables, Count of Unassigned Variables,Max people in team
1,0.1,3,0.024760961532592773,2218,1350,12
2,0.2,4,0.14405322074890137,55,12,11
3,0.3,5,1.2113301753997803,42857,25368,7
4,0.4,6,9.0489661693573,157223,93775,6

Problem Index,Probabilty,# Teams devided into,Running Time,Count of Assigned variables, Count of Unassigned Variables,Max people in team
1,0.1,3,0.004558086395263672,34,2,14
2,0.2,4,0.04064321517944336,275,163,9
3,0.3,5,2.4258480072021484,4485,2395,7
4,0.4,6,14.092329740524292,42157,23057,6
Problem Index,Probabilty,# Teams devided into,Running Time,Count of Assigned variables, Count of Unassigned Variables,Max people in team
1,0.1,3,0.004759788513183594,39,4,14
2,0.2,4,0.028235197067260742,332,165,10
3,0.3,5,3.909851312637329,68150,43059,7
4,0.4,6,28.456949472427368,122318,62791,7
5,0.5,7,197.46449279785156,106491,62325,5
Problem Index,Probabilty,# Teams devided into,Running Time,Count of Assigned variables, Count of Unassigned Variables,Max people in team
1,0.1,3,0.004641532897949219,32,0,15
2,0.2,4,0.029224157333374023,1459,1043,10
3,0.3,5,0.2219693660736084,2541,1380,7
4,0.4,6,15.825356245040894,39,6,7
5,0.5,7,45.684330701828,1176664,605672,5
